                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3911,                 5.1906,                 4.4818,                  2e-05,                0.00132,                  7e-05,                  1e-05,                 4.6591,                 5.0493,                 4.1612,              6.664e-05,              6.664e-05,              6.664e-05
                      2,                 4.4322,                 4.9699,                 4.3353,                  1e-05,                0.00132,                  1e-05,                      0,                  4.664,                 5.0519,                 4.1632,             0.00014133,             0.00014133,             0.00014133
                      3,                 4.1243,                 4.8137,                 4.2895,                  2e-05,                0.00132,                  1e-05,                      0,                 4.6755,                 5.0601,                 4.1678,             0.00021572,             0.00021572,             0.00021572
                      4,                 3.9763,                 4.5212,                 4.1707,                  2e-05,                0.00132,                  3e-05,                      0,                 4.6925,                 5.0699,                 4.1751,             0.00028982,             0.00028982,             0.00028982
                      5,                 3.6295,                 4.4301,                  4.069,                  6e-05,                0.00269,                  4e-05,                  1e-05,                 4.7313,                 5.0826,                 4.1954,             0.00036362,             0.00036362,             0.00036362
                      6,                  3.523,                 3.9791,                 3.7879,                  9e-05,                0.00378,                  6e-05,                  1e-05,                 4.7734,                 5.0877,                 4.2248,             0.00043712,             0.00043712,             0.00043712
                      7,                 3.1363,                 3.6559,                 3.6337,                0.00012,                0.00526,                  8e-05,                  2e-05,                 4.8329,                 5.1077,                 4.2729,             0.00051032,             0.00051032,             0.00051032
                      8,                 2.9977,                 3.4539,                 3.3885,                0.00015,                0.00853,                  9e-05,                  2e-05,                  4.872,                 5.1242,                 4.3148,             0.00058323,             0.00058323,             0.00058323
                      9,                 2.8213,                 3.2597,                 3.2565,                0.00015,                0.01047,                 0.0001,                  3e-05,                 4.8329,                 5.1069,                 4.3099,             0.00065584,             0.00065584,             0.00065584
                     10,                 2.6774,                 3.0357,                 2.9314,                0.00024,                0.01334,                0.00016,                  4e-05,                 4.6863,                 5.0266,                 4.2523,             0.00072816,             0.00072816,             0.00072816
                     11,                 2.5876,                 3.0882,                 2.9498,                0.00888,                0.11523,                0.04309,                0.01318,                 4.2982,                 4.6692,                 4.0552,             0.00080018,             0.00080018,             0.00080018
                     12,                 2.4248,                 2.8881,                 2.7429,                0.18275,                0.34671,                0.13499,                0.04244,                 3.3174,                  3.786,                 3.4803,             0.00081486,             0.00081486,             0.00081486
                     13,                 2.3361,                 2.6442,                 2.5156,                0.51573,                0.14451,                0.19893,                0.07435,                 2.8342,                 3.2756,                 3.1129,             0.00081486,             0.00081486,             0.00081486
                     14,                 2.2858,                 2.6417,                 2.4925,                0.58303,                0.14733,                0.18934,                0.06323,                 2.9794,                 3.2044,                 3.0714,             0.00081321,             0.00081321,             0.00081321
                     15,                  2.233,                  2.498,                 2.3956,                0.47267,                0.26401,                 0.3112,                0.12961,                 2.5887,                 2.8844,                 2.8324,             0.00081156,             0.00081156,             0.00081156
                     16,                 2.1588,                 2.3975,                 2.3211,                0.39581,                0.33573,                0.32413,                0.14041,                 2.4445,                 2.7117,                 2.6763,             0.00080991,             0.00080991,             0.00080991
                     17,                 2.0425,                 2.2255,                 2.1774,                0.30133,                0.45254,                0.36737,                0.19858,                 1.7969,                 2.4308,                   2.27,             0.00080826,             0.00080826,             0.00080826
                     18,                 1.9327,                  2.145,                  2.091,                0.35487,                0.54922,                0.39264,                0.21709,                 1.6412,                 2.2773,                 2.1201,             0.00080661,             0.00080661,             0.00080661
                     19,                 1.8422,                  2.126,                 2.1046,                0.55364,                0.44661,                0.47307,                0.25089,                 1.7696,                 2.3854,                 2.1467,             0.00080496,             0.00080496,             0.00080496
                     20,                 1.8762,                 1.9726,                  1.997,                0.58297,                0.53944,                0.59436,                0.34779,                 1.6275,                 2.1056,                 2.0266,             0.00080331,             0.00080331,             0.00080331
                     21,                 1.8305,                 1.8962,                 1.9583,                 0.6646,                0.51087,                0.61739,                0.32234,                 1.7518,                 2.2325,                 2.0081,             0.00080166,             0.00080166,             0.00080166
                     22,                 1.7757,                 1.9406,                 1.9488,                0.61078,                 0.5156,                0.61345,                0.36877,                 1.4994,                 2.1902,                  1.872,             0.00080001,             0.00080001,             0.00080001
